contact_id,surname,name,phone,comment
1,Иванов,Иван,111,Друг
2,Петров,Петр,222,Коллега
3,Сидоров,Сидор,333,Должен 7777000
4,Ромашкина,Маша,444,Вкусные пирожки
5,Петро,Петросус,333,Эмигрировал в Латвию
6,Васильков,Иван,111,Друг
7,Федоров,Кирилл,5667347,Студент GB
8,Месси,Лёня,9987999,Легенда
9,Сеньор,Помидор,5555 555,Мой герой
10,Поспелов Сергей,Сергей поспелов,Не скажу,Что тут ещё сказать
11,Комиссар,Катанья,98989111,Не брать
12,Иванов,Иван,79998887744,Одноклассник
13,Сидоров,Сергей,78887775522,Одногрупник
14,Петров,Петр,75554443322,Мимо проходил
15,Иванов,Иван,79998887744,Одноклассник
16,Сидоров,Сергей,78887775522,Одногрупник
17,Петров,Петр,75554443322,Мимо проходил
